Date,Close,Adj Close,Volume
9/27/2012,5.698,5.698,8793000
9/28/2012,5.856,5.856,21717000
10/1/2012,5.832,5.832,4422000
10/2/2012,5.96,5.96,3645000
10/3/2012,5.86,5.86,5264000
10/4/2012,5.88,5.88,7706500
10/5/2012,5.778,5.778,4693000
10/8/2012,5.85,5.85,4448500
10/9/2012,5.674,5.674,5965000
10/10/2012,5.68,5.68,2518000
10/11/2012,5.664,5.664,2253000
10/12/2012,5.528,5.528,4938000
10/15/2012,5.466,5.466,7343500
10/16/2012,5.612,5.612,2396500
10/17/2012,5.764,5.764,3340000
10/18/2012,5.608,5.608,3705000
10/19/2012,5.548,5.548,5137000
10/22/2012,5.57,5.57,2351000
10/23/2012,5.678,5.678,3745000
10/24/2012,5.484,5.484,5082000
10/25/2012,5.504,5.504,2888500
10/26/2012,5.476,5.476,2387000
10/31/2012,5.626,5.626,3876000
11/1/2012,5.85,5.85,5120500
11/2/2012,5.784,5.784,5151500
11/5/2012,6.3,6.3,10244500
11/6/2012,6.23,6.23,11620000
11/7/2012,6.308,6.308,8572500
11/8/2012,6.262,6.262,6370000
11/9/2012,6.064,6.064,4315000
11/12/2012,6.214,6.214,2779500
11/13/2012,6.322,6.322,4991500
11/14/2012,6.276,6.276,4356500
11/15/2012,6.164,6.164,4920000
11/16/2012,6.368,6.368,4543500
11/19/2012,6.584,6.584,6962000
11/20/2012,6.6,6.6,4612500
11/21/2012,6.494,6.494,4816000
11/23/2012,6.426,6.426,2151500
11/26/2012,6.454,6.454,2479000
11/27/2012,6.43,6.43,4554000
11/28/2012,6.646,6.646,7626000
11/29/2012,6.738,6.738,5517000
11/30/2012,6.764,6.764,7101500
12/3/2012,6.924,6.924,10428500
12/4/2012,6.78,6.78,6316500
12/5/2012,6.742,6.742,3307500
12/6/2012,6.78,6.78,3302000
12/7/2012,6.834,6.834,3322000
12/10/2012,6.914,6.914,4649000
12/11/2012,7.056,7.056,7863000
12/12/2012,7.052,7.052,10319000
12/13/2012,6.722,6.722,10756500
12/14/2012,6.762,6.762,5115000
12/17/2012,6.88,6.88,4124500
12/18/2012,6.918,6.918,7769500
12/19/2012,6.922,6.922,6494000
12/20/2012,6.886,6.886,4606000
12/21/2012,6.8,6.8,7462000
12/24/2012,6.856,6.856,1879000
12/26/2012,6.718,6.718,3007000
12/27/2012,6.738,6.738,2805500
12/28/2012,6.644,6.644,2070500
12/31/2012,6.774,6.774,2974500
1/2/2013,7.072,7.072,5974000
1/3/2013,6.954,6.954,3710000
1/4/2013,6.88,6.88,3370000
1/7/2013,6.868,6.868,2210000
1/8/2013,6.736,6.736,6420000
1/9/2013,6.728,6.728,3490000
1/10/2013,6.706,6.706,4612500
1/11/2013,6.582,6.582,7816000
1/14/2013,6.652,6.652,4625500
1/15/2013,6.78,6.78,8121000
1/16/2013,6.82,6.82,6891000
1/17/2013,6.876,6.876,7183500
1/18/2013,6.904,6.904,17775500
1/22/2013,7.038,7.038,9601000
1/23/2013,7.2,7.2,7821500
1/24/2013,7.398,7.398,9852000
1/25/2013,7.396,7.396,6439000
1/28/2013,7.606,7.606,9930000
1/29/2013,7.59,7.59,7133000
1/30/2013,7.504,7.504,4840500
1/31/2013,7.502,7.502,4507000
2/1/2013,7.66,7.66,5503000
2/4/2013,7.548,7.548,5640000
2/5/2013,7.626,7.626,6551000
2/6/2013,7.834,7.834,9466000
2/7/2013,7.896,7.896,5983000
2/8/2013,7.848,7.848,5699000
2/11/2013,7.684,7.684,16331500
2/12/2013,7.578,7.578,11306500
2/13/2013,7.69,7.69,4834000
2/14/2013,7.654,7.654,4953500
2/15/2013,7.408,7.408,10088000
2/19/2013,7.856,7.856,13507000
2/20/2013,7.708,7.708,15610000
2/21/2013,7.032,7.032,45189000
2/22/2013,7.222,7.222,12736500
2/25/2013,6.876,6.876,14447000
2/26/2013,6.886,6.886,13814500
2/27/2013,7.02,7.02,9796000
2/28/2013,6.966,6.966,9824500
3/1/2013,6.93,6.93,7733000
3/4/2013,7.116,7.116,8788500
3/5/2013,7.33,7.33,10435000
3/6/2013,7.538,7.538,5750000
3/7/2013,7.646,7.646,5791500
3/8/2013,7.694,7.694,4560500
3/11/2013,7.82,7.82,7897500
3/12/2013,7.824,7.824,6375500
3/13/2013,7.796,7.796,4110000
3/14/2013,7.37,7.37,10105000
3/15/2013,7.058,7.058,16398000
3/18/2013,7.03,7.03,6580500
3/19/2013,7.016,7.016,5492500
3/20/2013,7.19,7.19,7115000
3/21/2013,7.202,7.202,5731500
3/22/2013,7.324,7.324,2201000
3/25/2013,7.506,7.506,11894000
3/26/2013,7.572,7.572,9041000
3/27/2013,7.632,7.632,6481500
3/28/2013,7.578,7.578,5793500
4/1/2013,8.786,8.786,70492500
4/2/2013,8.868,8.868,33262000
4/3/2013,8.22,8.22,28218000
4/4/2013,8.402,8.402,11324000
4/5/2013,8.274,8.274,7762000
4/8/2013,8.366,8.366,8395000
4/9/2013,8.1,8.1,8480500
4/10/2013,8.372,8.372,10605500
4/11/2013,8.718,8.718,17237000
4/12/2013,8.75,8.75,15747000
4/15/2013,8.66,8.66,8407000
4/16/2013,9.118,9.118,15902000
4/17/2013,9.09,9.09,10592500
4/18/2013,9.394,9.394,16839500
4/19/2013,9.566,9.566,15058500
4/22/2013,10.038,10.038,19697000
4/23/2013,10.202,10.202,18669000
4/24/2013,10.086,10.086,13150000
4/25/2013,10.4,10.4,13979500
4/26/2013,10.24,10.24,18110500
4/29/2013,10.988,10.988,18198500
4/30/2013,10.798,10.798,27613000
5/1/2013,10.656,10.656,13714000
5/2/2013,10.822,10.822,15252000
5/3/2013,10.91,10.91,16893500
5/6/2013,11.9,11.9,21833500
5/7/2013,11.102,11.102,49955000
5/8/2013,11.158,11.158,33849500
5/9/2013,13.88,13.88,143025000
5/10/2013,15.352,15.352,125413000
5/13/2013,17.559999,17.559999,112084500
5/14/2013,16.648001,16.648001,185819500
5/15/2013,16.968,16.968,84393500
5/16/2013,18.450001,18.450001,108070000
5/17/2013,18.299999,18.299999,95011000
5/20/2013,17.988001,17.988001,41742000
5/21/2013,17.518,17.518,44991000
5/22/2013,17.448,17.448,42840000
5/23/2013,18.546,18.546,60111000
5/24/2013,19.416,19.416,80621000
5/28/2013,22.066,22.066,98459500
